Name,Payout,Address,Epochs selected,Amount of epochs selected,Missed epochs,Amount of total missed epochs
NimiqPocket,restake,NQ02 31N6 3KM5 T6G5 22TN EPF5 5XPY RLHK RMB3,"39,42,44,45,46,48,50,53,54,55,58,60,61,62,67,69,70,71,72,73,74,75,76,77,79,80,81,82,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",45,,0
Unknown validator,none,NQ03 33VR AJ1X DPL6 05AY 3S9X Q753 FMJB UKB1,"16,17,18,21,22,23,24,25,26,27,30,31,32,34,35,36,37,38,39,40,41,42,44,45,46,47,48,50,51,52,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,72,73,74,75,76,77,78,79,80,81,82,83,85,86,87,88,90,91,92,93,94,95,96,97,98,99,100",73,,0
Unknown validator,none,NQ18 T043 QC8S TEF3 UFYJ GYB2 JM26 J2CT TQMC,,0,,0
Unknown validator,none,NQ19 AC1J 0S6V KDYU 6YDQ RC57 9VH9 EEHP 9RFK,"1,3,10,11,25,27,28,31,33,42,48,51,52,74,79,88,94",17,,0
Unknown validator,none,NQ27 9RNA 6QNU T36N LPM8 48B2 6NN6 H7RQ TTKF,"38,39,43,48,50,52,54,57,61,63,64,65,66,68,69,70,74,75,77,83,85,90,94,95,98,99",26,,0
$NIM_pool,restake,NQ29 FBVT B4GM S27H UBP4 1MTC GNKQ VPBT 099M,"2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",94,,0
Unknown validator,none,NQ34 7GJ1 V2DB H9PE TJDP 22SU Y8B2 GAD5 82PN,"3,4,5,13,14,15,16,23,24,26,27,29,30,31,35,38,42,45,51,52,56,61,63,64,67,68,69,72,73,74,77,91,93,99",34,,0
Unknown validator,none,NQ37 JVR8 E652 XT34 DDU6 VQTJ VQHG 9B62 LQDL,4,1,,0
FRENCH NIMIQ VALIDATOR by Ju #2,restake,NQ51 7BS3 0HVH 9R5M TUDH C5PG 490G S7XT KD4D,91,1,,0
Unknown validator,none,NQ51 PA86 3G1G M70T H220 UUKL 4CN9 MCXQ LMJH,"1,4,7,9,10,12,13,16,17,18,21,24,25,26,27,28,30,31,33,35,38,40,42,44,46,47,49,51,56,57,62,64,68,72,73,74,77,79,80,81,82,83,94,96,99,100",46,,0
Unknown validator,none,NQ57 8QQT DDTN PGMF 02L0 QQXF 9TGB X8KM PPM6,"3,4,8,9,10,11,12,13,15,20,22,24,25,26,27,29,33,36,37,40,41,43,45,46,47,49,50,52,54,58,62,63,65,69,70,71,72,73,74,75,76,77,78,80,81,82,83,84,85,86,87,88,90,92,93,94,95,96,97,98,99,100",62,,0
Unknown validator,none,NQ64 UAYH LY2E UQSX DSS6 TRJE NFAJ 6Y88 SU8C,"15,98",2,,0
Unknown validator,none,NQ65 0UVT 5CMU X4J9 L3F3 VCUP U8VF 8C37 RRCB,,0,,0
Unknown validator,none,NQ68 UHRN KPUT HHQN E9EK PF53 AG4C C33M N82U,,0,,0
Unknown validator,none,NQ82 Q5UY YA47 F85Y 6G14 61FL 4JAH 89RL TK7Y,"25,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",73,,0
Unknown validator,none,NQ82 VSU3 UY9V CJ2U SD20 KKY2 DU4H L5E4 LPAK,"67,80",2,,0
Unknown validator,none,NQ88 7C24 EYFB U2DE M07L Q2NS 99NG 08YC 1D33,"14,17,20,22,24,27,29,33,35,38,43,44,49,52,53,54,56,58,62,63,69,73,74,78,84,86,88,94,96",29,,0
Unknown validator,none,NQ88 CJ1X RJRK PN2H SMV6 VR1Y 77LD CT9G EBNP,,0,,0
Unknown validator,none,NQ90 5MY4 G2NV G8V4 LVCM UNEJ 3YM4 P7XH U2BX,,0,,0
Unknown validator,none,NQ95 CN40 JSKR 353D 55J3 FK5S J66U 3908 KKF6,"1,2,3,4,5,8,9,10,11,12,15,18,19,20,21,24,26,27,28,29,34,35,36,37,38,39,42,43,46,48,52,57,58,59,65,66",36,,0
Unknown validator,none,NQ97 UJ1C 9ABP K3QK SCFA 57FT 04XE 0RJD SJKJ,,0,,0
Unknown validator,none,NQ04 CR27 XURG V48S PK1X 1039 1EPS VR35 EK50,"2,3,4,5,6,7,8,9,10,11,12,13,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100",97,13,1
Unknown validator,none,NQ15 BRC2 5TMJ DKGK T747 MC0C DLAF KDLE 0BBF,1,1,1,1
Unknown validator,none,NQ19 PG3E A5D8 TSU7 Y1J6 RDVE 0STB QGMV FFRS,10,1,10,1
Unknown validator,none,NQ26 JHY9 M74D BD00 D6TQ CB0J KR38 5YGV 8CQ4,1,1,1,1
Unknown validator,none,NQ32 1U9X 7P3X B2H5 XA00 5LC2 5KFE VBQE X3BU,"6,8,9,10,15,16,18,21,22,23,24,27,30,32,35,36,40,42,47,48,52,57,58,60,67,69,70,71,78,80,82,83,84,86,87,88,90,91,92,93,96,99,100",43,78,1
